player_id,team,opp,pos,name,fpts,proj_own,ceil,floor,min_exposure,max_exposure
11605,NOS,LVR,T1,Drew Brees,19.99,,29.79,11.59,0,100
1055342,NEP,SEA,WR,Gunner Olszewski,0,,,,0,100
1247803,CLE,CIN,RB,D'Ernest Johnson,0.44,,0.86,0.07,0,100
18422,DAL,ATL,DST,Cowboys,6.73,6,13.12,1.14,0,100
18418,CAR,TBB,DST,Panthers,4.74,2.5,9.24,0.81,0,100
328421,NYJ,SFO,TE,Chris Herndon,10.72,15.5,19.62,2.25,0,100
982175,MIN,IND,WR,Olabisi Johnson,7.11,0.1,14.58,0.5,0,100
35527,MIN,IND,WR,Tajae Sharpe,1.64,0.1,3.36,0.11,0,100
37009,DEN,PIT,TE,Jake Butt,1.68,,3.44,0.12,0,100
1844641,PHI,LAR,WR,John Hightower,0.62,0.1,1.24,0.01,0,100
982481,PHI,LAR,RB,Miles Sanders,16,6.5,24.64,8.16,0,100
36827,NEP,SEA,WR,Quincy Adeboyejo,0,,,,0,100
36968,NYG,CHI,TE,Evan Engram,10.22,3.6,16.86,1.94,0,100
2185293,LAC,KCC,RB,Gabe Nabers,0,,,,0,100
21690,TEN,JAC,TE,Geoff Swaim,0,,,,0,100
982822,LAR,PHI,RB,Darrell Henderson Jr.,2.68,0.1,5.68,0.56,0,100
36837,CIN,CLE,TE,Cethan Carter,0,,,,0,100
18179,CHI,NYG,WR,Allen Robinson II,16.12,5,27.89,5.96,0,100
16877,CLE,CIN,QB,Case Keenum,0,,,,0,100
328093,KCC,LAC,TE,Nick Keizer,0.57,0.1,1.06,0,0,100
18423,DEN,PIT,DST,Broncos,6.12,3.4,11.93,1.04,0,100
18442,LAR,PHI,DST,Rams,7.51,7.8,14.64,1.28,0,100
18437,PHI,LAR,DST,Eagles,7.44,4.4,14.51,1.26,0,100
18428,JAC,TEN,DST,Jaguars,5.1,1.1,9.95,0.87,0,100
11793,CHI,NYG,TE,Jimmy Graham,7.88,0.7,13.16,1.5,0,100
328735,CAR,TBB,TE,Ian Thomas,5.4,1,11.39,1.13,0,100
328364,MIA,BUF,TE,Mike Gesicki,9.01,1.5,14.96,2.16,0,100
1844242,PHI,LAR,RB,Jason Huntley,0,,,,0,100
749164,CAR,TBB,QB,P.J. Walker,0,,,,0,100
35578,WAS,ARI,RB,J.D. McKissic,6.65,0.7,11.7,0.67,0,100
35580,PHI,LAR,TE,Joshua Perkins,0,,,,0,100
328461,HOU,BAL,TE,Jordan Akins,6.34,0.6,12.62,0.57,0,100
37042,TBB,CAR,RB,T.J. Logan,0,,,,0,100
